#-T-numb-numa-fusion-fission-tauS-tauQ1-error-bQ1-tauQ100-error-bQ100
#-tinc=0.1
0.30 0.003900 0.003074 0.001575 0.000749
0.35 0.019161 0.016938 0.007128 0.004905
0.40 0.042899 0.043355 0.014147 0.014604
0.42 0.070766 0.069715 0.023939 0.022888
0.44 0.084044 0.083948 0.028047 0.027951
0.45 0.134188 0.134908 0.044489 0.045209
0.46 0.171707 0.171543 0.057290 0.057127
0.48 0.212011 0.214803 0.069740 0.072532
0.50 0.236040 0.234095 0.079329 0.077383



#-tinc=1
0.30 0.032214 0.031473 0.010985 0.010244
0.35 0.097254 0.094647 0.033287 0.030680
0.40 0.152877 0.152759 0.050998 0.050881
0.42 0.233403 0.232197 0.078203 0.076997
0.44 0.251912 0.252460 0.083788 0.084336
0.46 0.463154 0.463039 0.154423 0.154308
0.48 0.527623 0.527855 0.175797 0.176029
0.50 0.537483 0.531639 0.181109 0.175265



#-tinc=10
0.30 0.086190 0.085026 0.029118 0.027954
0.35 0.159140 0.156312 0.053989 0.051161
0.40 0.236324 0.238028 0.078206 0.079911
0.42 0.343334 0.345705 0.113655 0.116025
0.44 0.440728 0.438872 0.147528 0.145672
0.46 0.611655 0.611020 0.204097 0.203461
0.48 0.615070 0.611258 0.206294 0.202482
0.50 0.618782 0.611704 0.208620 0.201542



#-tinc=100
0.30 0.188170 0.191274 0.061689 0.064792 134766 478000 15000 0.41 349550 7000 0.54
0.35 0.194579 0.193582 0.065192 0.064195 23950 96360 4110 0.49 94920 950 0.79
0.40 0.581260 0.587370 0.191716 0.197827 7047 39580 1020 0.48 53310 1130 0.80
0.42 0.615771 0.620929 0.203538 0.208696 4733 21770 390 0.48 29170 575 0.64
0.44 0.551904 0.549794 0.184671 0.182561 2932 7930 150 0.45 9600 220 0.55
0.45 0.617232 0.617482 0.205660 0.205911 1590 nan nan nan 2300 57 0.55
0.46 0.622121 0.623167 0.207025 0.208071 1210 714 3 0.56 717 4 0.57
0.48 0.619806 0.619256 0.206785 0.206235 770 353 2 0.62 376 2 0.66
0.50 0.620856 0.618055 0.207885 0.205085 581 222 2 0.64 250 2 0.76

